time_sec,x,y,yaw_rad
1765547861.769721031,0.000000,0.000000,0.000000
1765547861.866967440,0.000025,0.000000,0.000018
1765547861.966953516,0.000000,-0.000000,0.000003
1765547862.066991806,0.000025,-0.000000,0.000000
1765547862.166910887,0.000000,-0.000000,0.000001
1765547862.266905785,0.000000,-0.000000,-0.000000
1765547862.366930246,0.000025,-0.000000,0.000011
1765547862.466970444,0.000000,-0.000000,0.000011
1765547862.516901016,0.000000,-0.000000,0.000018
1765547862.666945219,0.000025,0.000000,0.000023
1765547862.766911745,0.000025,0.000000,0.000026
1765547862.867058754,0.000025,-0.000000,0.000007
1765547862.966878891,0.000025,0.000000,0.000020
1765547863.066901445,0.000000,-0.000000,0.000024
1765547863.166865587,0.000025,0.000000,0.000028
1765547863.266911030,0.000025,0.000000,0.000025
1765547863.366898060,0.000025,0.000000,0.000044
1765547863.468025208,0.000000,-0.000000,0.000032
1765547863.566879034,0.000000,-0.000000,0.000043
1765547863.666903019,0.000000,-0.000000,0.000018
1765547863.766931772,0.000000,-0.000000,0.000031
1765547863.866926193,0.000000,-0.000000,0.000037
1765547863.966877937,0.000025,0.000000,0.000035
1765547864.066871643,0.000000,-0.000000,0.000034
1765547864.166882753,0.000000,-0.000000,0.000033
1765547864.266906500,0.000025,0.000000,0.000028
1765547864.366866589,0.000025,0.000000,0.000028
1765547864.466919422,0.000025,0.000000,0.000026
1765547864.566875696,0.000000,-0.000000,-0.000004
1765547864.666899204,0.000025,-0.000000,0.000004
1765547864.766923904,0.000000,-0.000000,0.000012
1765547864.866953373,0.000000,-0.000000,-0.000005
1765547864.966841698,0.000000,-0.000000,0.000006
1765547865.066884518,0.000025,-0.000000,-0.000003
1765547865.167021990,0.000025,-0.000000,-0.000002
1765547865.266850710,0.000000,-0.000000,0.000018
1765547865.366894484,0.000025,-0.000000,0.000012
1765547865.466860056,0.000025,-0.000000,0.000003
1765547865.566904545,0.000000,-0.000000,0.000014
1765547865.666821241,0.000000,-0.000000,0.000008
1765547865.766826868,0.000000,-0.000000,0.000006
1765547865.866818905,0.000000,-0.000000,0.000007
1765547865.966840029,0.000025,-0.000000,-0.000002
1765547866.066796303,0.000000,-0.000000,0.000016
1765547866.166919708,0.000025,-0.000000,0.000003
1765547866.266843081,0.000000,-0.000000,0.000021
1765547866.366816282,0.000025,-0.000000,0.000022
1765547866.466891766,0.000025,-0.000000,0.000021
1765547866.566820383,0.000025,-0.000000,0.000007
1765547866.666906595,0.000025,-0.000000,0.000006
1765547866.766893864,0.000025,-0.000000,0.000019
1765547866.866895676,0.000025,-0.000000,0.000004
1765547866.966792583,0.000025,-0.000000,0.000006
1765547867.066888094,0.000025,-0.000000,0.000007
1765547867.167308331,0.000000,-0.000000,0.000012
1765547867.266909599,0.000000,-0.000000,0.000016
1765547867.367058039,0.000000,-0.000000,-0.000004
1765547867.466825724,0.000025,-0.000000,0.000013
1765547867.566835165,0.000000,-0.000000,0.000013
1765547867.666798353,0.000025,-0.000000,-0.000001
1765547867.766796112,0.000025,-0.000000,0.000028
1765547867.866812468,0.000025,-0.000000,0.000024
1765547867.966863632,0.000000,-0.000000,0.000026
1765547868.066904306,0.000025,-0.000000,0.000030
1765547868.166769028,0.000000,-0.000000,0.000026
1765547868.266805410,0.000025,-0.000000,0.000017
1765547868.366817474,0.000025,-0.000000,0.000027
1765547868.466792107,0.000000,-0.000000,0.000023
1765547868.566835642,0.000000,-0.000000,0.000021
1765547868.666757345,0.000025,-0.000000,0.000026
1765547868.766806364,0.000000,-0.000000,0.000028
1765547868.866825342,0.000000,-0.000000,0.000023
1765547868.966817141,0.000025,-0.000000,0.000026
1765547869.066775322,0.000000,-0.000000,0.000026
1765547869.166828394,0.000025,-0.000000,0.000029
1765547869.266803265,0.000025,-0.000000,0.000026
1765547869.366746187,0.000000,-0.000000,0.000030
1765547869.466729641,0.000000,-0.000000,0.000052
1765547869.566734314,0.000000,-0.000000,0.000033
1765547869.666814566,0.000025,0.000000,0.000041
1765547869.766884327,0.000025,0.000000,0.000027
1765547869.867120743,0.000000,-0.000000,0.000034
1765547869.966928720,0.000025,0.000000,0.000043
1765547870.066738367,0.000000,-0.000000,0.000045
1765547870.166955948,0.000025,0.000000,0.000042
1765547870.266803503,0.000000,-0.000000,0.000050
1765547870.368310213,0.000025,-0.000000,0.000044
1765547870.466790199,0.000025,-0.000000,0.000054
1765547870.566782951,0.000000,-0.000000,0.000042
1765547870.666715145,0.000000,-0.000000,0.000035
1765547870.766726494,0.000000,-0.000000,0.000042
1765547870.866744757,0.000025,-0.000000,0.000037
1765547870.966853857,0.000025,-0.000000,0.000032
1765547871.066767693,0.000025,0.000000,0.000041
1765547871.166682243,0.000025,0.000000,0.000044
1765547871.266978979,0.000000,-0.000000,0.000032
1765547871.366806269,0.000025,0.000000,0.000034
1765547871.466679096,0.000025,0.000000,0.000043
1765547871.566717386,0.000000,-0.000000,0.000043
1765547871.616705418,0.000000,-0.000000,0.000040
1765547871.766814947,0.000000,-0.000000,0.000041
1765547871.866753817,0.000025,0.000000,0.000052
1765547871.966698170,0.000025,0.000000,0.000042
1765547872.066689253,0.000000,-0.000000,0.000053
1765547872.166769743,0.000025,0.000000,0.000043
1765547872.266710520,0.000000,-0.000000,0.000050
1765547872.366752148,0.000025,0.000000,0.000058
1765547872.466761589,0.000000,-0.000000,0.000056
1765547872.566654682,0.000025,-0.000000,0.000047
1765547872.666799307,0.000000,-0.000000,0.000050
1765547872.766802549,0.000000,-0.000000,0.000059
1765547872.866759777,0.000025,0.000000,0.000058
1765547872.966680765,0.000025,0.000000,0.000060
1765547873.066668749,0.000025,0.000000,0.000065
1765547873.166803360,0.000000,-0.000000,0.000062
1765547873.266764879,0.000000,-0.000000,0.000074
1765547873.366651297,0.000025,0.000000,0.000070
1765547873.466667414,0.000000,-0.000000,0.000067
1765547873.566675663,0.000025,-0.000000,0.000066
1765547873.666666031,0.000025,-0.000000,0.000079
1765547873.766736507,0.000025,-0.000000,0.000076
1765547873.866833687,0.000025,-0.000000,0.000071
1765547873.966636419,0.000000,-0.000000,0.000063
1765547874.066716194,0.000000,-0.000000,0.000081
1765547874.166706800,0.000000,-0.000000,0.000078
1765547874.266701937,0.000000,-0.000000,0.000084
1765547874.366626501,0.000025,0.000000,0.000087
1765547874.466938734,0.000025,0.000000,0.000080
1765547874.566658497,0.000025,0.000000,0.000098
1765547874.666705132,0.000000,-0.000000,0.000082
1765547874.766652346,0.000000,-0.000000,0.000082
1765547874.866707563,0.000000,-0.000000,0.000072
1765547874.966679096,0.000000,-0.000000,0.000069
1765547875.066813231,0.000025,-0.000000,0.000088
1765547875.166649342,0.000000,-0.000000,0.000080
1765547875.266683102,0.000000,-0.000000,0.000084
1765547875.366667509,0.000025,-0.000000,0.000086
1765547875.466641665,0.000025,-0.000000,0.000088
1765547875.566663504,0.000025,-0.000000,0.000084
1765547875.666686296,0.000025,0.000000,0.000100
1765547875.766665220,0.000025,-0.000000,0.000089
1765547875.866592646,0.000025,-0.000000,0.000093
1765547875.966593742,0.000000,-0.000000,0.000093
1765547876.066719055,0.000000,-0.000000,0.000107
1765547876.166686296,0.000025,-0.000000,0.000105
1765547876.266660690,0.000000,-0.000000,0.000113
1765547876.366608858,0.000000,-0.000000,0.000098
1765547876.466874838,0.000025,0.000000,0.000110
1765547876.566602707,0.000000,-0.000000,0.000112
1765547876.666689634,0.000000,-0.000000,0.000098
1765547876.766617298,0.000025,-0.000000,0.000104
1765547876.866663933,0.000000,-0.000000,0.000110
1765547876.966594934,0.000025,-0.000000,0.000108
1765547877.066598892,0.000000,-0.000000,0.000106
1765547877.166568518,0.000025,0.000000,0.000107
1765547877.266642809,0.000025,-0.000000,0.000106
1765547877.366610289,0.000000,-0.000000,0.000106
1765547877.466643095,0.000000,-0.000000,0.000116
1765547877.566740274,0.000025,0.000000,0.000109
1765547877.666628838,0.000000,-0.000000,0.000116
1765547877.766591311,0.000025,0.000000,0.000105
1765547877.866562128,0.000000,-0.000000,0.000113
1765547877.966660738,0.000000,-0.000000,0.000108
1765547878.066609383,0.000000,-0.000000,0.000105
1765547878.166559935,0.000025,0.000000,0.000117
1765547878.266529799,0.000025,0.000000,0.000111
1765547878.366542339,0.000025,0.000000,0.000109
1765547878.466575146,0.000025,0.000000,0.000100
1765547878.566762686,0.000025,0.000000,0.000102
1765547878.666516066,0.000025,0.000000,0.000112
1765547878.766555071,0.000000,-0.000000,0.000113
1765547878.866614342,0.000025,0.000000,0.000103
1765547878.966646194,0.000025,0.000000,0.000114
1765547879.066600084,0.000025,0.000000,0.000110
1765547879.166518211,0.000000,-0.000000,0.000118
1765547879.266610146,0.000000,-0.000000,0.000124
1765547879.366515160,0.000000,-0.000000,0.000117
1765547879.466543674,0.000000,-0.000000,0.000109
1765547879.566627026,0.000025,0.000000,0.000123
1765547879.666588783,0.000000,-0.000000,0.000119
1765547879.766535759,0.000000,-0.000000,0.000112
1765547879.866535187,0.000000,-0.000000,0.000110
1765547879.966537476,0.000025,0.000000,0.000106
1765547880.066689491,0.000000,-0.000000,0.000104
1765547880.166602135,0.000025,0.000000,0.000101
1765547880.266561031,0.000025,0.000000,0.000104
1765547880.366500139,0.000025,0.000000,0.000097
1765547880.466517687,0.000025,0.000000,0.000101
1765547880.566562653,0.000025,0.000000,0.000107
1765547880.666496754,0.000025,0.000000,0.000109
1765547880.766511679,0.000000,-0.000000,0.000102
1765547880.866591454,0.000000,-0.000000,0.000108
1765547880.966614485,0.000025,0.000000,0.000093
1765547881.066520452,0.000025,0.000000,0.000107
1765547881.166498661,0.000025,0.000000,0.000092
1765547881.266577005,0.000025,0.000000,0.000095
1765547881.366561651,0.000025,0.000000,0.000098
1765547881.466545582,0.000025,0.000000,0.000096
1765547881.566471577,0.000025,0.000000,0.000107
1765547881.666498661,0.000025,0.000000,0.000097
1765547881.766469955,0.000000,-0.000000,0.000092
1765547881.866725206,0.000025,0.000000,0.000091
1765547881.966454029,0.000025,0.000000,0.000089
1765547882.066446304,0.000025,-0.000000,0.000077
1765547882.166558504,0.000000,-0.000000,0.000078
1765547882.266451359,0.000000,-0.000000,0.000083
1765547882.366470337,0.000000,-0.000000,0.000090
1765547882.466491222,0.000025,-0.000000,0.000079
1765547882.566492319,0.000025,-0.000000,0.000086
1765547882.666653633,0.000000,-0.000000,0.000080
1765547882.766541243,0.000025,-0.000000,0.000083
1765547882.866565228,0.000025,-0.000000,0.000089
1765547882.966431141,0.000000,-0.000000,0.000082
1765547883.066664934,0.000025,-0.000000,0.000097
1765547883.166508913,0.000000,-0.000000,0.000089
1765547883.266536236,0.000025,0.000000,0.000099
1765547883.366427422,0.000025,0.000000,0.000095
1765547883.466456652,0.000025,0.000000,0.000087
1765547883.566460371,0.000000,-0.000000,0.000095
1765547883.666517258,0.000000,-0.000000,0.000088
1765547883.766463280,0.000000,-0.000000,0.000092
1765547883.866478205,0.000025,0.000000,0.000090
1765547883.966483831,0.000025,0.000000,0.000091
1765547884.066463947,0.000000,-0.000000,0.000098
1765547884.166513681,0.000025,-0.000000,0.000081
1765547884.266470671,0.000025,-0.000000,0.000094
1765547884.366474152,0.000000,-0.000000,0.000091
1765547884.466393471,0.000000,-0.000000,0.000080
1765547884.566623449,0.000000,-0.000000,0.000100
1765547884.666477442,0.000000,-0.000000,0.000093
1765547884.766414881,0.000000,-0.000000,0.000090
1765547884.866445303,0.000025,-0.000000,0.000129
1765547884.966514349,0.000025,-0.000000,0.000129
1765547885.066392899,0.000025,-0.000000,0.000117
1765547885.166455984,0.000000,-0.000000,0.000132
1765547885.266574621,0.000025,-0.000000,0.000113
1765547885.366487741,0.000000,-0.000000,0.000115
1765547885.466715336,0.000000,-0.000000,0.000124
1765547885.566414118,0.000025,-0.000000,0.000129
1765547885.666430473,0.000025,-0.000000,0.000121
1765547885.766514778,0.000025,-0.000000,0.000138
1765547885.866579294,0.000025,-0.000000,0.000127
1765547885.966485023,0.000000,-0.000000,0.000127
1765547886.066410542,0.000025,-0.000000,0.000119
1765547886.166450262,0.000025,-0.000000,0.000111
1765547886.266497850,0.000025,-0.000000,0.000129
1765547886.366394520,0.000000,-0.000000,0.000116
1765547886.466455698,0.000025,-0.000000,0.000118
1765547886.566370249,0.000000,-0.000000,0.000128
1765547886.666711330,0.000025,-0.000000,0.000131
1765547886.766485929,0.000025,-0.000000,0.000128
1765547886.866422415,0.000025,-0.000000,0.000131
1765547886.966444969,0.000025,-0.000000,0.000116
1765547887.066359758,0.000000,-0.000000,0.000116
1765547887.166397333,0.000000,-0.000000,0.000123
1765547887.266422510,0.000025,-0.000000,0.000124
1765547887.366428614,0.000000,-0.000000,0.000123
1765547887.466425180,0.000000,-0.000000,0.000129
1765547887.566430569,0.000000,-0.000000,0.000125
1765547887.666450739,0.000025,-0.000000,0.000125
1765547887.766415834,0.000000,-0.000000,0.000122
1765547887.866500854,0.000000,-0.000000,0.000123
1765547887.966339350,0.000025,-0.000000,0.000131
1765547888.066365719,0.000000,-0.000000,0.000122
1765547888.166464567,0.000025,-0.000000,0.000132
1765547888.266325235,0.000000,-0.000000,0.000136
1765547888.366356850,0.000000,-0.000000,0.000130
1765547888.466734409,0.000025,-0.000000,0.000137
1765547888.566385984,0.000025,-0.000000,0.000124
1765547888.666409492,0.000025,-0.000000,0.000134
1765547888.766328573,0.000000,-0.000000,0.000136
1765547888.866416931,0.000000,-0.000000,0.000116
1765547888.966391325,0.000025,-0.000000,0.000113
1765547889.066294432,0.000000,-0.000000,0.000122
1765547889.166321993,0.000000,-0.000000,0.000113
1765547889.266444683,0.000000,-0.000000,0.000118
1765547889.366316319,0.000000,-0.000000,0.000118
1765547889.466313839,0.000000,-0.000000,0.000128
1765547889.566288233,0.000025,-0.000000,0.000125
1765547889.666389942,0.000000,-0.000000,0.000110
1765547889.766361952,0.000000,-0.000000,0.000115
1765547889.869250774,0.000000,-0.000000,0.000120
1765547889.966335297,0.000025,-0.000000,0.000109
1765547890.066545725,0.000025,-0.000000,0.000110
1765547890.166312695,0.000000,-0.000000,0.000110
1765547890.266367912,0.000025,0.000000,0.000270
1765547890.366270781,0.001873,-0.000004,-0.003468
1765547890.466280222,0.005315,-0.000025,-0.009432
1765547890.566283941,0.010478,-0.000085,-0.013886
1765547890.666301250,0.015767,-0.000184,-0.021429
1765547890.766319752,0.019993,-0.000287,-0.028008
1765547890.816282034,0.023282,-0.000383,-0.030395
1765547890.866290331,0.025432,-0.000451,-0.032802
1765547891.050248146,0.035220,-0.000839,-0.043481
1765547891.166272879,0.040605,-0.001081,-0.047065
1765547891.266262054,0.046016,-0.001341,-0.048628
1765547891.366328001,0.050263,-0.001552,-0.050444
1765547891.466411114,0.055647,-0.001825,-0.051292
1765547891.568303108,0.061056,-0.002103,-0.051631
1765547891.666318655,0.065328,-0.002324,-0.051261
1765547891.766326427,0.070662,-0.002595,-0.050173
1765547891.866269827,0.076021,-0.002863,-0.049854
1765547891.966243744,0.080217,-0.003070,-0.048942
1765547892.066251040,0.085678,-0.003337,-0.048711
1765547892.166264534,0.090886,-0.003591,-0.048444
1765547892.266267776,0.095184,-0.003798,-0.048509
1765547892.366295815,0.100568,-0.004063,-0.049800
1765547892.466258049,0.106130,-0.004343,-0.050983
1765547892.566305399,0.110528,-0.004570,-0.052270
1765547892.666233301,0.115937,-0.004857,-0.053597
1765547892.766269684,0.121345,-0.005152,-0.055321
1765547892.866267204,0.125742,-0.005397,-0.056393
1765547892.966257095,0.130998,-0.005696,-0.056856
1765547893.066202402,0.136406,-0.006002,-0.056454
1765547893.166238546,0.140702,-0.006245,-0.056143
1765547893.266215563,0.146085,-0.006546,-0.055621
1765547893.366271734,0.150407,-0.006784,-0.054334
1765547893.466312647,0.155866,-0.007079,-0.053154
1765547893.566292763,0.161250,-0.007358,-0.051135
1765547893.666212320,0.165522,-0.007576,-0.050718
1765547893.766253471,0.171057,-0.007857,-0.050650
1765547893.866210222,0.176518,-0.008134,-0.051096
1765547893.966196775,0.180790,-0.008351,-0.050425
1765547894.066228867,0.186224,-0.008626,-0.050307
1765547894.166274786,0.191583,-0.008898,-0.050659
1765547894.266225576,0.195830,-0.009113,-0.050234
1765547894.366296053,0.201063,-0.009376,-0.050297
1765547894.466776848,0.206195,-0.009633,-0.049241
1765547894.566220045,0.211504,-0.009889,-0.047547
1765547894.666190386,0.215852,-0.010093,-0.046448
1765547894.766245365,0.221314,-0.010345,-0.045344
1765547894.866208076,0.226674,-0.010585,-0.044802
1765547894.966191292,0.230846,-0.010773,-0.044815
1765547895.066233158,0.236308,-0.011017,-0.044372
1765547895.166495800,0.241618,-0.011251,-0.044177
1765547895.266261578,0.245841,-0.011436,-0.043267
1765547895.366187811,0.251050,-0.011660,-0.042731
1765547895.466309071,0.256436,-0.011891,-0.042504
1765547895.566223860,0.260710,-0.012071,-0.041707
1765547895.666300058,0.266071,-0.012292,-0.040761
1765547895.766237497,0.271458,-0.012504,-0.038146
1765547895.866182804,0.275758,-0.012662,-0.035310
1765547895.966152906,0.281222,-0.012849,-0.032687
1765547896.066224813,0.286611,-0.013015,-0.028927
1765547896.166240692,0.290684,-0.013128,-0.026841
1765547896.266160727,0.296149,-0.013270,-0.025517
1765547896.366202354,0.301589,-0.013408,-0.024957
1765547896.466403246,0.305865,-0.013514,-0.024732
1765547896.566127777,0.311331,-0.013648,-0.024503
1765547896.666470528,0.316822,-0.013782,-0.024281
1765547896.766240120,0.321073,-0.013886,-0.024499
1765547896.866127729,0.326513,-0.014020,-0.024395
1765547896.966271639,0.331877,-0.014153,-0.025145
1765547897.066220760,0.336102,-0.014264,-0.026996
1765547897.166212559,0.341492,-0.014412,-0.028419
1765547897.266146660,0.346855,-0.014571,-0.030629
1765547897.366166830,0.352092,-0.014738,-0.032566
1765547897.466155529,0.356291,-0.014881,-0.035768
1765547897.566134453,0.361653,-0.015077,-0.037637
1765547897.666634798,0.367015,-0.015286,-0.039629
1765547897.766386986,0.372250,-0.015509,-0.044712
1765547897.866147995,0.376623,-0.015715,-0.049912
1765547897.966200113,0.381983,-0.015972,-0.040005
1765547898.066093922,0.387399,-0.016006,0.019917
1765547898.166112661,0.391571,-0.015830,0.066314
1765547898.266045332,0.397022,-0.015411,0.088276
1765547898.366130352,0.402310,-0.014877,0.108723
1765547898.466136456,0.406333,-0.014407,0.120675
1765547898.566166162,0.411560,-0.013784,0.114166
